target,group,cov,val,index,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars
fev1,Baseline,Baseline,,Intercept,4301.582161019838,75.5540488674314,56.93384041624927,0.0,4153.398524092247,4449.76579794743,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,sex[T.True],-1245.3172943026525,114.03923706681076,-10.920077390320262,6.420103538275297e-27,-1468.9816664219907,-1021.6529221833143,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,race_0[T.True],1245.7620270617188,25.859574593527377,48.17411139367821,0.0,1195.0438210871737,1296.4802330362638,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,race_1[T.True],768.4052508046934,28.117041589170285,27.328808700153456,1.1099810881643247e-137,713.2594903221784,823.5510112872084,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,race_2[T.True],596.0168127741281,43.79729989975682,13.608528702415223,3.34484396431297e-40,510.11746940284206,681.9161561454141,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,race_3[T.True],957.3215682987343,24.634434338307898,38.86111429033492,6.17731671460041e-240,909.0062214890681,1005.6369151084004,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,race_4[T.True],734.0765020805294,50.28136562407155,14.599374797591016,1.0885014784835813e-45,635.4600051548073,832.6929990062515,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,age,-35.50890492381648,1.6326792485951973,-21.748855419317255,3.128321986030543e-93,-38.71106751628787,-32.30674233134509,203831.2853828711,365673325.9768708,0
fev1,Baseline,Baseline,,sex[T.True]:age,6.018846171969729,2.0416771274854755,2.94799118378846,0.0032399745832081845,2.0145188497699076,10.023173494169551,203831.2853828711,365673325.9768708,0
fev1,anthropometrics,height,,Intercept,-1038.7517328106783,228.0938780961987,-4.554053539186108,5.618150090838158e-06,-1486.1108586915716,-591.3926069297848,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,sex[T.True],-754.0654121276551,100.76611901498003,-7.483322961119051,1.1314717397188615e-13,-951.6973840911446,-556.4334401641656,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,race_0[T.True],24.05888524934153,54.774088078482364,0.43923844455190303,0.6605419364509612,-83.36919817067246,131.48696866935552,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,race_1[T.True],-442.5864581823931,55.208020700786996,-8.01670577145114,1.9448637601892954e-15,-550.8656109964026,-334.3073053683836,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,race_2[T.True],-348.73372458355374,54.15163208261561,-6.439948551347694,1.5324376987857544e-10,-454.940988871838,-242.5264602952695,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,race_3[T.True],-7.735695581654255,44.8799995918096,-0.17236398511612253,0.863170923929844,-95.75856386073674,80.28717269742823,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,race_4[T.True],-263.7547397124194,59.68549448395576,-4.419076058477159,1.0508138792012834e-05,-380.8155344298043,-146.69394499503449,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,age,-28.79604145067328,1.4400933416139141,-19.995954858316008,1.991367369663823e-80,-31.620487700035515,-25.971595201311043,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,sex[T.True]:age,5.651384703255693,1.7678514268487933,3.1967531985022766,0.0014141607647332557,2.1841085290621054,9.11866087744928,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,height,,height,35.169712099055744,1.4390454516686781,24.43961172892343,4.947603046510141e-114,32.34732106982406,37.992103128287425,152726.2166194052,273990832.6152129,9
fev1,anthropometrics,waist_circ,,Intercept,-900.8408008256652,225.2706848051276,-3.9989260103015423,6.622690307590765e-05,-1342.6629830396964,-459.018618611634,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,sex[T.True],-741.4934318795434,99.21023885477999,-7.473960756862123,1.212670258985759e-13,-936.0739396216517,-546.9129241374352,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,race_0[T.True],67.46586950511217,54.22159934243168,1.2442618868365996,0.21356664096939687,-38.87866158792224,173.81040059814657,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,race_1[T.True],-394.8608176876461,54.708541795665546,-7.217535045303111,7.797832594104512e-13,-502.16038639459174,-287.56124898070044,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,race_2[T.True],-362.6798150557637,53.339591670365294,-6.799448659020451,1.4277643129409886e-11,-467.29446924653274,-258.06516086499465,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,race_3[T.True],36.473604134616785,44.56104689692045,0.8185086903139482,0.41317609748360173,-50.92373741814898,123.87094568738254,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,race_4[T.True],-247.23964172190952,58.795823782949846,-4.205054471804277,2.739535709823027e-05,-362.55557460206404,-131.923708841755,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,age,-27.961752030469533,1.421891938570842,-19.665173753340337,4.399962348136805e-78,-30.750501040201353,-25.173003020737713,147922.33732547826,265372673.161908,10
fev1,anthropometrics,waist_circ,,sex[T.True]:age,5.352687237800381,1.7407560540989528,3.0749209374837014,0.002137520484157321,1.9385517536844326,8.766822721916329,147922.33732547826,265372673.161908,10
